codprov codmun    codmunotr nombre                                             
      17     17021     17024BEUDA                                              
      17     17022     17025BISBAL D'EMPORDA (LA)                              
      17     17023     17026BLANES                                             
      17     17024     17027BOLVIR                                             
      17     17025     17028BORDILS                                            
      17     17026     17029BORRASSA                                           
      17     17027     17030BREDA                                              
      17     17028     17031BRUNYOLA                                           
      17     17029     17032BOADELLA I LES ESCAULES                            
      17     17030     17033CABANES                                            
      17     17031     17034CABANELLES                                         
      17     17032     17035CADAQUES                                           
      17     17033     17037CALDES DE MALAVELLA                                
      17     17034     17038CALONGE                                            
      17     17035     17039CAMOS                                              
      17     17036     17040CAMPDEVANOL                                        
      17     17037     17041CAMPELLES                                          
      17     17038     17042CAMPLLONG                                          
      17     17039     17043CAMPRODON                                          
      17     17040     17044CANET D'ADRI                                       
      17     17041     17045CANTALLOPS                                         
      17     17042     17046CAPMANY                                            
      17     17043     17047QUERALBS                                           
      17     17044     17049CASSA DE LA SELVA                                  
      17     17046     17051CASTELLFOLLIT DE LA ROCA                           
      17     17047     17052CASTELLO D'EMPURIES                                
      17     17048     17053CASTELL-PLATJA D'ARO                               
      17     17049     17054CELRA                                              
      17     17050     17055CERVIA DE TER                                      
      17     17051     17056CISTELLA                                           
      17     17052     17057SIURANA                                            
      17     17054     17059COLERA                                             
      17     17055     17060COLOMERS                                           
      17     17056     17061CORNELLA DEL TERRI                                 
      17     17057     17062CORÇA                                              
      17     17058     17063CRESPIA                                            
      17     17060     17065DARNIUS                                            
      17     17061     17066DAS                                                
      17     17062     17068ESCALA (L')                                        
      17     17063     17069ESPINELVES                                         
      17     17064     17070ESPOLLA                                            
      17     17065     17071ESPONELLA                                          
      17     17066     17072FIGUERES                                           
      17     17067     17073FLAÇA                                              
      17     17068     17074FOIXA                                              
      17     17069     17036FONTANALS DE CERDANYA                              
      17     17070     17075FONTANILLES                                        
      17     17071     17076FONTCOBERTA                                        
      17     17073     17078FORNELLS DE LA SELVA                               
      17     17074     17079FORTIA                                             
      17     17075     17081GARRIGAS                                           
      17     17076     17082GARRIGOLES                                         
      17     17077     17083GARRIGUELLA                                        
      17     17078     17084GER                                                
      17     17079     17900GIRONA                                             
      17     17080     17086GOMBREN                                            
      17     17081     17087GUALTA                                             
      17     17082     17088GUILS DE CERDANYA                                  
      17     17083     17089HOSTALRIC                                          
      17     17084     17090ISOVOL                                             
      17     17085     17091JAFRE                                              
      17     17086     17093JONQUERA (LA)                                      
      17     17087     17094JUIA                                               
      17     17088     17095LLADO                                              
      17     17089     17096LLAGOSTERA                                         
      17     17090     17097LLAMBILLES                                         
      17     17091     17098LLANARS                                            
      17     17092     17099LLANÇA                                             
      17     17093     17100LLERS                                              
      17     17094     17101LLIVIA                                             
      17     17095     17102LLORET DE MAR                                      
      17     17096     17103LLOSSES (LES)                                      
      17     17097     17104MADREMANYA                                         
      17     17098     17110MAIA DE MONTCAL                                    
      17     17099     17105MERANGES                                           
      17     17100     17106MASARAC                                            
      17     17101     17107MASSANES                                           
      17     17102     17108MAÇANET DE CABRENYS                                
      17     17103     17109MAÇANET DE LA SELVA                                
      17     17105     17112MIERES                                             
      17     17106     17113MOLLET DE PERALADA                                 
      17     17107     17114MOLLO                                              
      17     17109     17116MONTAGUT I OIX                                     
      17     17110     17117MONT-RAS                                           
      17     17111     17118NAVATA                                             
      17     17112     17119OGASSA                                             
      17     17114     17121OLOT                                               
      17     17115     17122ORDIS                                              
      17     17116     17123OSOR                                               
      17     17117     17124PALAFRUGELL                                        
      17     17118     17125PALAMOS                                            
      17     17119     17126PALAU DE SANTA EULALIA                             
      17     17120     17127PALAU-SAVERDERA                                    
      17     17121     17129PALAU-SATOR                                        
      17     17123     17131PALOL DE REVARDIT                                  
      17     17124     17132PALS                                               
      17     17125     17133PARDINES                                           
      17     17126     17134PARLAVA                                            
      17     17128     17136PAU                                                
      17     17129     17137PEDRET I MARZA                                     
      17     17130     17138PERA (LA)                                          
      17     17132     17140PERALADA                                           
      17     17133     17142PLANES D'HOSTOLES (LES)                            
      17     17134     17143PLANOLES                                           
      17     17135     17144PONT DE MOLINS                                     
      17     17136     17145PONTOS                                             
      17     17137     17146PORQUERES                                          
      17     17138     17147PORTBOU                                            
      17     17139     17148PRESES (LES)                                       
      17     17140     17149PORT DE LA SELVA (EL)                              
      17     17141     17150PUIGCERDA                                          
      17     17142     17151QUART                                              
      17     17143     17152RABOS                                              
      17     17144     17153REGENCOS                                           
      17     17145     17154RIBES DE FRESER                                    
      17     17146     17155RIELLS I VIABREA                                   
      17     17147     17156RIPOLL                                             
      17     17148     17157RIUDARENES                                         
      17     17149     17158RIUDAURA                                           
      17     17150     17159RIUDELLOTS DE LA SELVA                             
      17     17151     17160RIUMORS                                            
      17     17152     17161ROSES                                              
      17     17153     17162RUPIA                                              
      17     17154     17163SALES DE LLIERCA                                   
      17     17155     17164SALT                                               
      17     17157     17166SANT ANDREU SALOU                                  
      17     17158     17167SANT CLIMENT SESCEBES                              
      17     17159     17169SANT FELIU DE BUIXALLEU                            
      17     17160     17170SANT FELIU DE GUIXOLS                              
      17     17161     17171SANT FELIU DE PALLEROLS                            
      17     17162     17172SANT FERRIOL                                       
      17     17163     17173SANT GREGORI                                       
      17     17164     17174SANT HILARI SACALM                                 
      17     17165     17175SANT JAUME DE LLIERCA                              
      17     17166     17176SANT JORDI DESVALLS                                
      17     17167     17177SANT JOAN DE LES ABADESSES                         
      17     17168     17178SANT JOAN DE MOLLET                                
      17     17169     17179SANT JULIA DE RAMIS                                
      17     17170     17222VALLFOGONA DE RIPOLLES                             
      17     17171     17180SANT LLORENÇ DE LA MUGA                            
      17     17172     17181SANT MARTI DE LLEMENA                              
      17     17173     17182SANT MARTI VELL                                    
      17     17174     17183SANT MIQUEL DE CAMPMAJOR                           
      17     17175     17184SANT MIQUEL DE FLUVIA                              
      17     17176     17185SANT MORI                                          
      17     17177     17186SANT PAU DE SEGURIES                               
      17     17178     17187SANT PERE PESCADOR                                 
      17     17180     17191SANTA COLOMA DE FARNERS                            
      17     17181     17192SANTA CRISTINA D'ARO                               
      17     17182     17194SANTA LLOGAIA D'ALGUEMA                            
      17     17183     17195SANT ANIOL DE FINESTRES                            
      17     17184     17196SANTA PAU                                          
      17     17185     17197SANT JOAN LES FONTS                                
      17     17186     17198SARRIA DE TER                                      
      17     17187     17199SAUS, CAMALLERA I LLAMPAIES                        
      17     17188     17200SELVA DE MAR (LA)                                  
      17     17189     17201CELLERA DE TER (LA)                                
      17     17190     17202SERINYA                                            
      17     17191     17203SERRA DE DARO                                      
      17     17192     17204SETCASES                                           
      17     17193     17205SILS                                               
      17     17194     17206SUSQUEDA                                           
      17     17195     17207TALLADA D'EMPORDA (LA)                             
      17     17196     17209TERRADES                                           
      17     17197     17210TORRENT                                            
      17     17198     17211TORROELLA DE FLUVIA                                
      17     17199     17212TORROELLA DE MONTGRI                               
      17     17200     17213TORTELLA                                           
      17     17201     17214TOSES                                              
      17     17202     17215TOSSA DE MAR                                       
      17     17203     17216ULTRAMORT                                          
      17     17204     17217ULLA                                               
      17     17205     17218ULLASTRET                                          
      17     17206     17220URUS                                               
      17     17207     17017VALL D'EN BAS (LA)                                 
      17     17208     17221VALL DE BIANYA (LA)                                
      17     17209     17223VALL-LLOBREGA                                      
      17     17210     17224VENTALLO                                           
      17     17211     17225VERGES                                             
      17     17212     17226VIDRA                                              
      17     17213     17227VIDRERES                                           
      17     17214     17228VILABERTRAN                                        
      17     17215     17229VILABLAREIX                                        
      17     17216     17230VILADASENS                                         
      17     17217     17231VILADAMAT                                          
      17     17218     17232VILADEMULS                                         
      17     17220     17234VILADRAU                                           
      17     17221     17235VILAFANT                                           
      17     17222     17236VILAUR                                             
      17     17223     17237VILAJUIGA                                          
      17     17224     17238VILALLONGA DE TER                                  
      17     17225     17240VILAMACOLUM                                        
      17     17226     17241VILAMALLA                                          
      17     17227     17242VILAMANISCLE                                       
      17     17228     17243VILANANT                                           
      17     17230     17245VILA-SACRA                                         
      17     17232     17247VILOPRIU                                           
      17     17233     17248VILOBI D'ONYAR                                     
      17     17234     17249BIURE                                              
      17     17901     17064CRUILLES, MONELLS I SANT SADURNI DE L'HEURA        
      17     17902     17250FORALLAC                                           
      17     17903     17251SANT JULIA DEL LLOR I BONMATI                      
      18     18001     18002AGRON                                              
      18     18002     18003ALAMEDILLA                                         
      18     18003     18004ALBOLOTE                                           
      18     18004     18005ALBONDON                                           
      18     18005     18006ALBUÑAN                                            
      18     18006     18007ALBUÑOL                                            
      18     18007     18008ALBUÑUELAS                                         
      18     18010     18011ALDEIRE                                            
      18     18011     18012ALFACAR                                            
      18     18012     18013ALGARINEJO                                         
      18     18013     18014ALHAMA DE GRANADA                                  
      18     18014     18015ALHENDIN                                           
      18     18015     18016ALICUN DE ORTEGA                                   
      18     18016     18017ALMEGIJAR                                          
      18     18017     18018ALMUÑECAR                                          
      18     18018     18019ALQUIFE                                            
      18     18020     18021ARENAS DEL REY                                     
      18     18021     18022ARMILLA                                            
      18     18022     18023ATARFE                                             
      18     18023     18024BAZA                                               
      18     18024     18025BEAS DE GRANADA                                    
      18     18025     18026BEAS DE GUADIX                                     
      18     18027     18028BENALUA                                            
      18     18028     18029BENALUA DE LAS VILLAS                              
      18     18029     18030BENAMAUREL                                         
      18     18030     18031BERCHULES                                          
      18     18032     18033BUBION                                             
      18     18033     18034BUSQUISTAR                                         
      18     18034     18035CACIN                                              
      18     18035     18036CADIAR                                             
      18     18036     18037CAJAR                                              
      18     18037     18038CALICASAS                                          
      18     18038     18039CAMPOTEJAR                                         
      18     18039     18040CANILES                                            
      18     18040     18041CAÑAR                                              
      18     18042     18043CAPILEIRA                                          
      18     18043     18044CARATAUNAS                                         
      18     18044     18045CASTARAS                                           
      18     18045     18046CASTILLEJAR                                        
      18     18046     18047CASTRIL                                            
      18     18047     18048CENES DE LA VEGA                                   
      18     18048     18049CIJUELA                                            
      18     18049     18050COGOLLOS DE GUADIX                                 
      18     18050     18051COGOLLOS DE LA VEGA                                
      18     18051     18052COLOMERA                                           
      18     18053     18054CORTES DE BAZA                                     
      18     18054     18055CORTES Y GRAENA                                    
      18     18056     18057CULLAR                                             
      18     18057     18058CULLAR VEGA                                        
      18     18059     18060CHAUCHINA                                          
      18     18061     18062CHIMENEAS                                          
      18     18062     18064CHURRIANA DE LA VEGA                               
      18     18063     18065DARRO                                              
      18     18064     18066DEHESAS DE GUADIX                                  
      18     18065     18202DEHESAS VIEJAS                                     
      18     18066     18068DEIFONTES                                          
      18     18067     18069DIEZMA                                             
      18     18068     18070DILAR                                              
      18     18069     18071DOLAR                                              
      18     18070     18072DUDAR                                              
      18     18071     18073DURCAL                                             
      18     18072     18074ESCUZAR                                            
      18     18074     18076FERREIRA                                           
      18     18076     18078FONELAS                                            
      18     18078     18080FREILA                                             
      18     18079     18081FUENTE VAQUEROS                                    
      18     18082     18084GALERA                                             
      18     18083     18085GOBERNADOR                                         
      18     18084     18086GOJAR                                              
      18     18085     18087GOR                                                
      18     18086     18088GORAFE                                             
      18     18087     18900GRANADA                                            
      18     18088     18090GUADAHORTUNA                                       
      18     18089     18091GUADIX                                             
      18     18093     18095GUALCHOS                                           
      18     18094     18096GUEJAR SIERRA                                      
      18     18095     18097GUEVEJAR                                           
      18     18096     18098HUELAGO                                            
      18     18097     18099HUENEJA                                            
      18     18098     18100HUESCAR                                            
      18     18099     18101HUETOR DE SANTILLAN                                
      18     18100     18102HUETOR TAJAR                                       
      18     18101     18103HUETOR VEGA                                        
      18     18102     18104ILLORA                                             
      18     18103     18106ITRABO                                             
      18     18105     18107IZNALLOZ                                           
      18     18106     18203JATAR                                              
      18     18107     18109JAYENA                                             
      18     18108     18110JEREZ DEL MARQUESADO                               
      18     18109     18111JETE                                               
      18     18111     18113JUN                                                
      18     18112     18114JUVILES                                            
      18     18114     18116CALAHORRA (LA)                                     
      18     18115     18117LACHAR                                             
      18     18116     18118LANJARON                                           
      18     18117     18119LANTEIRA                                           
      18     18119     18063LECRIN                                             
      18     18120     18121LENTEGI                                            
      18     18121     18122LOBRAS                                             
      18     18122     18123LOJA                                               
      18     18123     18124LUGROS                                             
      18     18124     18125LUJAR                                              
      18     18126     18127MALAHA (LA)                                        
      18     18127     18128MARACENA                                           
      18     18128     18129MARCHAL                                            
      18     18132     18133MOCLIN                                             
      18     18133     18134MOLVIZAR                                           
      18     18134     18135MONACHIL                                           
      18     18135     18137MONTEFRIO                                          
      18     18136     18138MONTEJICAR                                         
      18     18137     18139MONTILLANA                                         
      18     18138     18140MORALEDA DE ZAFAYONA                               
      18     18140     18142MOTRIL                                             
      18     18141     18144MURTAS                                             
      18     18143     18146NIGUELAS                                           
      18     18144     18147NIVAR                                              
      18     18145     18148OGIJARES                                           
      18     18146     18149ORCE                                               
      18     18147     18150ORGIVA                                             
      18     18148     18151OTIVAR                                             
      18     18149     18152VILLA DE OTURA                                     
      18     18150     18153PADUL                                              
      18     18151     18154PAMPANEIRA                                         
      18     18152     18155PEDRO MARTINEZ                                     
      18     18153     18156PELIGROS                                           
      18     18154     18157PEZA (LA)                                          
      18     18157     18160PINOS GENIL                                        
      18     18158     18161PINOS PUENTE                                       
      18     18159     18162PIÑAR                                              
      18     18161     18164POLICAR                                            
      18     18162     18165POLOPOS                                            
      18     18163     18166PORTUGOS                                           
      18     18164     18167PUEBLA DE DON FADRIQUE                             
      18     18165     18168PULIANAS                                           
      18     18167     18170PURULLENA                                          
      18     18168     18171QUENTAR                                            
      18     18170     18173RUBITE                                             
      18     18171     18174SALAR                                              
      18     18173     18176SALOBREÑA                                          
      18     18174     18177SANTA CRUZ DEL COMERCIO                            
      18     18175     18178SANTA FE                                           
      18     18176     18179SOPORTUJAR                                         
      18     18177     18180SORVILAN                                           
      18     18178     18181TORRE-CARDELA                                      
      18     18179     18182TORVIZCON                                          
      18     18180     18183TREVELEZ                                           
      18     18181     18185TURON                                              
      18     18182     18186UGIJAR                                             
      18     18183     18187VALOR                                              
      18     18184     18188VELEZ DE BENAUDALLA                                
      18     18185     18189VENTAS DE HUELMA                                   
      18     18187     18191VILLANUEVA DE LAS TORRES                           
      18     18188     18192VILLANUEVA MESIA                                   
      18     18189     18193VIZNAR                                             
      18     18192     18196ZAFARRAYA                                          
      18     18193     18197ZUBIA (LA)                                         
      18     18194     18198ZUJAR                                              
      18     18901     18163TAHA (LA)                                          
      18     18902     18132VALLE (EL)                                         
      18     18903     18120NEVADA                                             
      18     18904     18130ALPUJARRA DE LA SIERRA                             
      18     18905     18083GABIAS (LAS)                                       
      18     18906     18092GUAJARES (LOS)                                     
      18     18907     18059VALLE DEL ZALABI                                   
      18     18908     18053VILLAMENA                                          
      18     18909     18141MORELABOR                                          
      18     18910     18105PINAR (EL)                                         
      18     18911     18020VEGAS DEL GENIL                                    
      18     18912     18199CUEVAS DEL CAMPO                                   
      18     18913     18200ZAGRA                                              
      18     18914     18201VALDERRUBIO                                        
      18     18915     18204DOMINGO PEREZ DE GRANADA                           
      19     19001     19001ABANADES                                           
      19     19002     19002ABLANQUE                                           
      19     19003     19003ADOBES                                             
      19     19004     19005ALAMINOS                                           
      19     19005     19006ALARILLA                                           
      19     19006     19007ALBALATE DE ZORITA                                 
      19     19007     19008ALBARES                                            
      19     19008     19009ALBENDIEGO                                         
      19     19009     19011ALCOCER                                            
      19     19010     19012ALCOLEA DE LAS PEÑAS                               
      19     19011         0ALCOLEA DEL PINAR                                  
      19     19013     19015ALCOROCHES                                         
      19     19015     19018ALDEANUEVA DE GUADALAJARA                          
      19     19016     19020ALGAR DE MESA                                      
      19     19017     19021ALGORA                                             
      19     19018     19022ALHONDIGA                                          
      19     19019     19023ALIQUE                                             
      19     19020     19024ALMADRONES                                         
      19     19021     19026ALMOGUERA                                          
      19     19022     19027ALMONACID DE ZORITA                                
      19     19023     19028ALOCEN                                             
      19     19024     19029ALOVERA                                            
      19     19027         0ALUSTANTE                                          
      19     19031     19036ANGON                                              
      19     19032         0ANGUITA                                            
      19     19033     19038ANQUELA DEL DUCADO                                 
      19     19034     19039ANQUELA DEL PEDREGAL                               
      19     19036     19041ARANZUEQUE                                         
      19     19037     19042ARBANCON                                           
      19     19038     19043ARBETETA                                           
      19     19039     19045ARGECILLA                                          
      19     19040     19046ARMALLONES                                         
      19     19041     19047ARMUÑA DE TAJUÑA                                   
      19     19042     19048ARROYO DE LAS FRAGUAS                              
      19     19043     19050ATANZON                                            
      19     19044         0ATIENZA                                            
      19     19045     19052AUÑON                                              
      19     19046     19054AZUQUECA DE HENARES                                
      19     19047     19055BAIDES                                             
      19     19048     19058BAÑOS DE TAJO                                      
      19     19049     19059BAÑUELOS                                           
      19     19050     19060BARRIOPEDRO                                        
      19     19051     19062BERNINCHES                                         
      19     19052     19064BODERA (LA)                                        
      19     19053         0BRIHUEGA                                           
      19     19054         0BUDIA                                              
      19     19055     19067BUJALARO                                           
      19     19057     19069BUSTARES                                           
      19     19058     19070CABANILLAS DEL CAMPO                               
      19     19059     19072CAMPILLO DE DUEÑAS                                 
      19     19060         0CAMPILLO DE RANAS                                  
      19     19061     19074CAMPISABALOS                                       
      19     19064     19077CANREDONDO                                         
      19     19065         0CANTALOJAS                                         
      19     19066     19079CAÑIZAR                                            
      19     19067         0CARDOSO DE LA SIERRA (EL)                          
      19     19070     19084CASA DE UCEDA                                      
      19     19071         0CASAR (EL)                                         
      19     19073     19087CASAS DE SAN GALINDO                               
      19     19074     19088CASPUEÑAS                                          
      19     19075     19089CASTEJON DE HENARES                                
      19     19076     19090CASTELLAR DE LA MUELA                              
      19     19078     19092CASTILFORTE                                        
      19     19079     19094CASTILNUEVO                                        
      19     19080     19095CENDEJAS DE ENMEDIO                                
      19     19081     19096CENDEJAS DE LA TORRE                               
      19     19082     19097CENTENERA                                          
      19     19086         0CIFUENTES                                          
      19     19087     19103CINCOVILLAS                                        
      19     19088     19104CIRUELAS                                           
      19     19089     19105CIRUELOS DEL PINAR                                 
      19     19090     19107COBETA                                             
      19     19091     19109COGOLLOR                                           
      19     19092         0COGOLLUDO                                          
      19     19095     19113CONDEMIOS DE ABAJO                                 
      19     19096         0CONDEMIOS DE ARRIBA                                
      19     19097     19115CONGOSTRINA                                        
      19     19098     19116COPERNAL                                           
      19     19099         0CORDUENTE                                          
      19     19102     19122CUBILLO DE UCEDA (EL)                              
      19     19103     19124CHECA                                              
      19     19104     19125CHEQUILLA                                          
      19     19105     19126CHILOECHES                                         
      19     19106     19127CHILLARON DEL REY                                  
      19     19107     19128DRIEBES                                            
      19     19108     19129DURON                                              
      19     19109     19130EMBID                                              
      19     19110     19131ESCAMILLA                                          
      19     19111     19132ESCARICHE                                          
      19     19112     19133ESCOPETE                                           
      19     19113         0ESPINOSA DE HENARES                                
      19     19114     19135ESPLEGARES                                         
      19     19115         0ESTABLES                                           
      19     19116     19137ESTRIEGANA                                         
      19     19117     19138FONTANAR                                           
      19     19118     19139FUEMBELLIDA                                        
      19     19119     19140FUENCEMILLAN                                       
      19     19120     19142FUENTELAHIGUERA DE ALBATAGES                       
      19     19121     19143FUENTELENCINA                                      
      19     19122     19144FUENTELSAZ                                         
      19     19123     19145FUENTELVIEJO                                       
      19     19124     19146FUENTENOVILLA                                      
      19     19125     19148GAJANEJOS                                          
      19     19126     19149GALAPAGOS                                          
      19     19127     19150GALVE DE SORBE                                     
      19     19129     19154GASCUEÑA DE BORNOVA                                
      19     19130         0GUADALAJARA                                        
      19     19132     19158HENCHE                                             
      19     19133     19159HERAS DE AYUSO                                     
      19     19134     19160HERRERIA                                           
      19     19135     19161HIENDELAENCINA                                     
      19     19136     19162HIJES                                              
      19     19138         0HITA                                               
      19     19139     19165HOMBRADOS                                          
      19     19142     19168HONTOBA                                            
      19     19143     19169HORCHE                                             
      19     19145     19171HORTEZUELA DE OCEN                                 
      19     19146     19172HUERCE (LA)                                        
      19     19147     19173HUERMECES DEL CERRO                                
      19     19148     19174HUERTAHERNANDO                                     
      19     19150     19177HUEVA                                              
      19     19151         0HUMANES                                            
      19     19152     19179ILLANA                                             
      19     19153     19181INIESTOLA                                          
      19     19154     19182INVIERNAS (LAS)                                    
      19     19155     19184IRUESTE                                            
      19     19156         0JADRAQUE                                           
      19     19157     19186JIRUEQUE                                           
      19     19159         0LEDANCA                                            
      19     19160     19191LORANCA DE TAJUÑA                                  
      19     19161     19192LUPIANA                                            
      19     19162     19193LUZAGA                                             
      19     19163     19194LUZON                                              
      19     19165     19196MAJAELRAYO                                         
      19     19166     19197MALAGA DEL FRESNO                                  
      19     19167     19198MALAGUILLA                                         
      19     19168     19199MANDAYONA                                          
      19     19169     19200MANTIEL                                            
      19     19170         0MARANCHON                                          
      19     19171     19202MARCHAMALO                                         
      19     19172     19203MASEGOSO DE TAJUÑA                                 
      19     19173     19204MATARRUBIA                                         
      19     19174     19205MATILLAS                                           
      19     19175     19206MAZARETE                                           
      19     19176     19207MAZUECOS                                           
      19     19177     19208MEDRANDA                                           
      19     19178     19209MEGINA                                             
      19     19179     19210MEMBRILLERA                                        
      19     19181     19212MIEDES DE ATIENZA                                  
      19     19182     19213MIERLA (LA)                                        
      19     19183     19214MILMARCOS                                          
      19     19184     19215MILLANA                                            
      19     19185     19216MIÑOSA (LA)                                        
      19     19186     19217MIRABUENO                                          
      19     19187     19218MIRALRIO                                           
      19     19188     19219MOCHALES                                           
      19     19189     19220MOHERNANDO                                         
      19     19190         0MOLINA DE ARAGON                                   
      19     19191     19222MONASTERIO                                         
      19     19192     19223MONDEJAR                                           
      19     19193     19224MONTARRON                                          
      19     19194     19226MORATILLA DE LOS MELEROS                           
      19     19195     19227MORENILLA                                          
      19     19196     19230MUDUEX                                             
      19     19197     19233NAVAS DE JADRAQUE (LAS)                            
      19     19198     19234NEGREDO                                            
      19     19199     19235OCENTEJO                                           
      19     19200     19236OLIVAR (EL)                                        
      19     19201     19237OLMEDA DE COBETA                                   
      19     19202     19238OLMEDA DE JADRAQUE (LA)                            
      19     19203     19241ORDIAL (EL)                                        
      19     19204     19242OREA                                               
      19     19208     19249PALMACES DE JADRAQUE                               
      19     19209     19250PARDOS                                             
      19     19210     19251PAREDES DE SIGUENZA                                
      19     19211     19252PAREJA                                             
      19     19212     19253PASTRANA                                           
      19     19213     19254PEDREGAL (EL)                                      
      19     19214     19257PEÑALEN                                            
      19     19215     19258PEÑALVER                                           
      19     19216     19259PERALEJOS DE LAS TRUCHAS                           
      19     19217     19260PERALVECHE                                         
      19     19218     19261PINILLA DE JADRAQUE                                
      19     19219     19262PINILLA DE MOLINA                                  
      19     19220     19263PIOZ                                               
      19     19221     19264PIQUERAS                                           
      19     19222     19265POBO DE DUEÑAS (EL)                                
      19     19223     19266POVEDA DE LA SIERRA                                
      19     19224     19269POZO DE ALMOGUERA                                  
