codprov codmun    codmunotr nombre                                             
       3      3013      3013ALGUEÑA                                            
       3      3014      3900ALICANTE/ALACANT                                   
       3      3015      3015ALMORADI                                           
       3      3016      3016ALMUDAINA                                          
       3      3017      3017ALQUERIA D'ASNAR (L')                              
       3      3018      3018ALTEA                                              
       3      3019      3019ASPE                                               
       3      3020      3020BALONES                                            
       3      3021      3021BANYERES DE MARIOLA                                
       3      3022      3022BENASAU                                            
       3      3023      3023BENEIXAMA                                          
       3      3024      3024BENEJUZAR                                          
       3      3025      3025BENFERRI                                           
       3      3026      3026BENIARBEIG                                         
       3      3027      3027BENIARDA                                           
       3      3028      3028BENIARRES                                          
       3      3029      3029BENIGEMBLA                                         
       3      3030      3030BENIDOLEIG                                         
       3      3031      3031BENIDORM                                           
       3      3032      3032BENIFALLIM                                         
       3      3033      3033BENIFATO                                           
       3      3034      3034BENIJOFAR                                          
       3      3035      3035BENILLOBA                                          
       3      3036      3036BENILLUP                                           
       3      3037      3037BENIMANTELL                                        
       3      3038      3038BENIMARFULL                                        
       3      3039      3039BENIMASSOT                                         
       3      3040      3040BENIMELI                                           
       3      3041      3041BENISSA                                            
       3      3042      3042BENITACHELL/POBLE NOU DE BENITATXELL (EL)          
       3      3043      3043BIAR                                               
       3      3044      3044BIGASTRO                                           
       3      3045      3045BOLULLA                                            
       3      3046      3046BUSOT                                              
       3      3047      3047CALP                                               
       3      3048      3048CALLOSA D'EN SARRIA                                
       3      3049      3049CALLOSA DE SEGURA                                  
       3      3050      3050CAMPELLO (EL)                                      
       3      3051      3051CAMPO DE MIRRA/CAMP DE MIRRA (EL)                  
       3      3052      3052CAÑADA                                             
       3      3053      3053CASTALLA                                           
       3      3054      3054CASTELL DE CASTELLS                                
       3      3055      3055CATRAL                                             
       3      3056      3056COCENTAINA                                         
       3      3057      3057CONFRIDES                                          
       3      3058      3058COX                                                
       3      3059      3059CREVILLENT                                         
       3      3060      3060QUATRETONDETA                                      
       3      3061      3061DAYA NUEVA                                         
       3      3062      3062DAYA VIEJA                                         
       3      3063      3063DENIA                                              
       3      3064      3064DOLORES                                            
       3      3065      3065ELCHE/ELX                                          
       3      3066      3066ELDA                                               
       3      3067      3067FACHECA                                            
       3      3068      3068FAMORCA                                            
       3      3069      3069FINESTRAT                                          
       3      3070      3070FORMENTERA DEL SEGURA                              
       3      3071      3071GATA DE GORGOS                                     
       3      3072      3072GAIANES                                            
       3      3073      3073GORGA                                              
       3      3074      3074GRANJA DE ROCAMORA                                 
       3      3075      3075CASTELL DE GUADALEST (EL)                          
       3      3076      3076GUARDAMAR DEL SEGURA                               
       3      3077      3077FONDO DE LES NEUS (EL)/HONDON DE LAS NIEVES        
       3      3078      3078HONDON DE LOS FRAILES                              
       3      3079      3079IBI                                                
       3      3080      3080JACARILLA                                          
       3      3081      3081XALO                                               
       3      3082      3082JAVEA/XABIA                                        
       3      3083      3083JIJONA/XIXONA                                      
       3      3084      3084LORCHA/ORXA (L')                                   
       3      3085      3085LLIBER                                             
       3      3086      3086MILLENA                                            
       3      3088      3088MONFORTE DEL CID                                   
       3      3089      3089MONOVAR/MONOVER                                    
       3      3090      3090MUTXAMEL                                           
       3      3091      3091MURLA                                              
       3      3092      3092MURO DE ALCOY                                      
       3      3093      3093NOVELDA                                            
       3      3094      3094NUCIA (LA)                                         
       3      3095      3095ONDARA                                             
       3      3096      3096ONIL                                               
       3      3097      3097ORBA                                               
       3      3098      3098ORXETA                                             
       3      3099      3099ORIHUELA                                           
       3      3100      3100PARCENT                                            
       3      3101      3101PEDREGUER                                          
       3      3102      3102PEGO                                               
       3      3103      3103PENAGUILA                                          
       3      3104      3104PETRER                                             
       3      3105      3105PINOS (EL)/PINOSO                                  
       3      3106      3106PLANES                                             
       3      3107      3107POLOP                                              
       3      3109      3109RAFAL                                              
       3      3110      3110RAFOL D'ALMUNIA (EL)                               
       3      3111      3111REDOVAN                                            
       3      3112      3112RELLEU                                             
       3      3113      3113ROJALES                                            
       3      3114      3114ROMANA (LA)                                        
       3      3115      3115SAGRA                                              
       3      3116      3116SALINAS                                            
       3      3117      3117SANET Y NEGRALS                                    
       3      3118      3118SAN FULGENCIO                                      
       3      3119      3119SANT JOAN D'ALACANT                                
       3      3120      3120SAN MIGUEL DE SALINAS                              
       3      3121      3121SANTA POLA                                         
       3      3122      3122SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG    
       3      3123      3123SAX                                                
       3      3124      3124SELLA                                              
       3      3125      3125SENIJA                                             
       3      3127      3127TARBENA                                            
       3      3128      3128TEULADA                                            
       3      3129      3129TIBI                                               
       3      3130      3130TOLLOS                                             
       3      3131      3131TORMOS                                             
       3      3132      3132TORREMANZANAS/TORRE DE LES MAÇANES (LA)            
       3      3133      3133TORREVIEJA                                         
       3      3134      3134VALL D'ALCALA (LA)                                 
       3      3135      3135VALL D'EBO (LA)                                    
       3      3136      3136VALL DE GALLINERA                                  
       3      3137      3137VALL DE LAGUAR (LA)                                
       3      3138      3138VERGER (EL)                                        
       3      3139      3139VILLAJOYOSA/VILA JOIOSA (LA)                       
       3      3140      3140VILLENA                                            
       3      3901      3126POBLETS (ELS)                                      
       3      3902      3142PILAR DE LA HORADADA                               
       3      3903      3141MONTESINOS (LOS)                                   
       3      3904      3143SAN ISIDRO                                         
       4      4001      4001ABLA                                               
       4      4002      4002ABRUCENA                                           
       4      4003      4003ADRA                                               
       4      4004      4004ALBANCHEZ                                          
       4      4005      4005ALBOLODUY                                          
       4      4006      4006ALBOX                                              
       4      4007      4007ALCOLEA                                            
       4      4008      4008ALCONTAR                                           
       4      4009      4009ALCUDIA DE MONTEAGUD                               
       4      4010      4010ALHABIA                                            
       4      4011      4011ALHAMA DE ALMERIA                                  
       4      4012      4012ALICUN                                             
       4      4013      4900ALMERIA                                            
       4      4014      4014ALMOCITA                                           
       4      4015      4015ALSODUX                                            
       4      4016      4016ANTAS                                              
       4      4017      4017ARBOLEAS                                           
       4      4018      4018ARMUÑA DE ALMANZORA                                
       4      4019      4019BACARES                                            
       4      4020      4020BAYARCAL                                           
       4      4021      4021BAYARQUE                                           
       4      4022      4022BEDAR                                              
       4      4023      4023BEIRES                                             
       4      4024      4024BENAHADUX                                          
       4      4026      4026BENITAGLA                                          
       4      4027      4027BENIZALON                                          
       4      4028      4028BENTARIQUE                                         
       4      4029      4029BERJA                                              
       4      4030      4030CANJAYAR                                           
       4      4031      4031CANTORIA                                           
       4      4032      4032CARBONERAS                                         
       4      4033      4033CASTRO DE FILABRES                                 
       4      4034      4034COBDAR                                             
       4      4035      4035CUEVAS DEL ALMANZORA                               
       4      4036      4036CHERCOS                                            
       4      4037      4037CHIRIVEL                                           
       4      4038      4038DALIAS                                             
       4      4041      4041ENIX                                               
       4      4043      4043FELIX                                              
       4      4044      4044FINES                                              
       4      4045      4045FIÑANA                                             
       4      4046      4046FONDON                                             
       4      4047      4047GADOR                                              
       4      4048      4048GALLARDOS (LOS)                                    
       4      4049      4049GARRUCHA                                           
       4      4050      4050GERGAL                                             
       4      4051      4051HUECIJA                                            
       4      4052      4052HUERCAL DE ALMERIA                                 
       4      4053      4053HUERCAL-OVERA                                      
       4      4054      4054ILLAR                                              
       4      4055      4055INSTINCION                                         
       4      4056      4056LAROYA                                             
       4      4057      4057LAUJAR DE ANDARAX                                  
       4      4058      4058LIJAR                                              
       4      4059      4059LUBRIN                                             
       4      4060      4060LUCAINENA DE LAS TORRES                            
       4      4061      4061LUCAR                                              
       4      4062      4062MACAEL                                             
       4      4063      4063MARIA                                              
       4      4064      4064MOJACAR                                            
       4      4065      4065NACIMIENTO                                         
       4      4066      4066NIJAR                                              
       4      4067      4067OHANES                                             
       4      4068      4068OLULA DE CASTRO                                    
       4      4069      4069OLULA DEL RIO                                      
       4      4070      4070ORIA                                               
       4      4071      4071PADULES                                            
       4      4072      4072PARTALOA                                           
       4      4073      4073PATERNA DEL RIO                                    
       4      4074      4074PECHINA                                            
       4      4075      4075PULPI                                              
       4      4076      4076PURCHENA                                           
       4      4077      4077RAGOL                                              
       4      4078      4078RIOJA                                              
       4      4079      4079ROQUETAS DE MAR                                    
       4      4080      4080SANTA CRUZ DE MARCHENA                             
       4      4081      4081SANTA FE DE MONDUJAR                               
       4      4082      4082SENES                                              
       4      4083      4083SERON                                              
       4      4084      4084SIERRO                                             
       4      4085      4085SOMONTIN                                           
       4      4086      4086SORBAS                                             
       4      4087      4087SUFLI                                              
       4      4088      4088TABERNAS                                           
       4      4089      4089TABERNO                                            
       4      4090      4090TAHAL                                              
       4      4091      4091TERQUE                                             
       4      4092      4092TIJOLA                                             
       4      4093      4093TURRE                                              
       4      4094      4094TURRILLAS                                          
       4      4095      4095ULEILA DEL CAMPO                                   
       4      4096      4096URRACAL                                            
       4      4097      4097VELEFIQUE                                          
       4      4098      4098VELEZ-BLANCO                                       
       4      4099      4099VELEZ-RUBIO                                        
       4      4100      4100VERA                                               
       4      4101      4101VIATOR                                             
       4      4102      4102VICAR                                              
       4      4103      4103ZURGENA                                            
       4      4901      4040TRES VILLAS (LAS)                                  
       4      4902      4104EJIDO (EL)                                         
       4      4903      4105MOJONERA (LA)                                      
       4      4904      4106BALANEGRA                                          
       5      5001      5001ADANERO                                            
       5      5002      5002ADRADA (LA)                                        
       5      5005      5005ALBORNOS                                           
       5      5007      5007ALDEANUEVA DE SANTA CRUZ                           
       5      5008      5008ALDEASECA                                          
       5      5010      5010ALDEHUELA (LA)                                     
       5      5012      5012AMAVIDA                                            
       5      5013      5013ARENAL (EL)                                        
       5      5014      5014ARENAS DE SAN PEDRO                                
       5      5015      5015AREVALILLO                                         
       5      5016      5016AREVALO                                            
       5      5017      5017AVEINTE                                            
       5      5018      5018AVELLANEDA                                         
       5      5019      5900AVILA                                              
       5      5021      5021BARCO DE AVILA (EL)                                
       5      5022      5022BARRACO (EL)                                       
       5      5023      5023BARROMAN                                           
       5      5024      5024BECEDAS                                            
       5      5025      5025BECEDILLAS                                         
       5      5026      5026BERCIAL DE ZAPARDIEL                               
       5      5027      5027BERLANAS (LAS)                                     
       5      5029      5029BERNUY-ZAPARDIEL                                   
       5      5030      5030BERROCALEJO DE ARAGONA                             
       5      5033      5033BLASCOMILLAN                                       
       5      5034      5034BLASCONUÑO DE MATACABRAS                           
       5      5035      5035BLASCOSANCHO                                       
       5      5036      5036BOHODON (EL)                                       
       5      5037      5037BOHOYO                                             
       5      5038      5038BONILLA DE LA SIERRA                               
       5      5039      5039BRABOS                                             
       5      5040      5040BULARROS                                           
       5      5041      5041BURGOHONDO                                         
       5      5042      5042CABEZAS DE ALAMBRE                                 
       5      5043      5043CABEZAS DEL POZO                                   
       5      5044      5044CABEZAS DEL VILLAR                                 
       5      5045      5045CABIZUELA                                          
       5      5046      5046CANALES                                            
       5      5047      5047CANDELEDA                                          
       5      5048      5048CANTIVEROS                                         
       5      5049      5049CARDEÑOSA                                          
       5      5051      5051CARRERA (LA)                                       
       5      5052      5052CASAS DEL PUERTO                                   
       5      5053      5053CASASOLA                                           
       5      5054      5054CASAVIEJA                                          
       5      5055      5055CASILLAS                                           
       5      5056      5056CASTELLANOS DE ZAPARDIEL                           
       5      5057      5057CEBREROS                                           
       5      5058      5058CEPEDA LA MORA                                     
       5      5059      5059CILLAN                                             
       5      5060      5060CISLA                                              
       5      5061      5061COLILLA (LA)                                       
       5      5062      5062COLLADO DE CONTRERAS                               
       5      5063      5063COLLADO DEL MIRON                                  
       5      5064      5064CONSTANZANA                                        
       5      5065      5065CRESPOS                                            
       5      5066      5066CUEVAS DEL VALLE                                   
       5      5067      5067CHAMARTIN                                          
       5      5069      5069DONJIMENO                                          
       5      5070      5070DONVIDAS                                           
       5      5072      5072ESPINOSA DE LOS CABALLEROS                         
       5      5073      5073FLORES DE AVILA                                    
       5      5074      5074FONTIVEROS                                         
       5      5075      5075FRESNEDILLA                                        
       5      5076      5076FRESNO (EL)                                        
       5      5077      5077FUENTE EL SAUZ                                     
       5      5078      5078FUENTES DE AÑO                                     
       5      5079      5079GALLEGOS DE ALTAMIROS                              
       5      5080      5080GALLEGOS DE SOBRINOS                               
       5      5081      5081GARGANTA DEL VILLAR                                
       5      5082      5082GAVILANES                                          
       5      5083      5083GEMUÑO                                             
       5      5084      5084GILBUENA                                           
       5      5085      5085GIL GARCIA                                         
       5      5086      5086GIMIALCON                                          
       5      5087      5087GOTARRENDURA                                       
       5      5088      5088GRANDES Y SAN MARTIN                               
       5      5089      5089GUISANDO                                           
       5      5090      5090GUTIERRE-MUÑOZ                                     
       5      5092      5092HERNANSANCHO                                       
       5      5093      5093HERRADON DE PINARES                                
       5      5094      5094HERREROS DE SUSO                                   
       5      5095      5095HIGUERA DE LAS DUEÑAS                              
       5      5096      5096HIJA DE DIOS (LA)                                  
       5      5097      5097HORCAJADA (LA)                                     
       5      5099      5099HORCAJO DE LAS TORRES                              
       5      5100      5100HORNILLO (EL)                                      
       5      5101      5101HOYOCASERO                                         
       5      5102      5102HOYO DE PINARES (EL)                               
       5      5103      5103HOYORREDONDO                                       
       5      5104      5104HOYOS DEL COLLADO                                  
       5      5105      5105HOYOS DEL ESPINO                                   
       5      5106      5106HOYOS DE MIGUEL MUÑOZ                              
       5      5107      5107HURTUMPASCUAL                                      
       5      5108      5108JUNCIANA                                           
       5      5109      5109LANGA                                              
       5      5110      5110LANZAHITA                                          
       5      5112      5112LOSAR DEL BARCO (EL)                               
       5      5113      5113LLANOS DE TORMES (LOS)                             
       5      5114      5114MADRIGAL DE LAS ALTAS TORRES                       
       5      5115      5115MAELLO                                             
       5      5116      5116MALPARTIDA DE CORNEJA                              
       5      5117      5117MAMBLAS                                            
       5      5118      5118MANCERA DE ARRIBA                                  
       5      5119      5119MANJABALAGO Y ORTIGOSA DE RIOALMAR                 
       5      5120      5120MARLIN                                             
       5      5121      5121MARTIHERRERO                                       
       5      5122      5122MARTINEZ                                           
       5      5123      5123MEDIANA DE VOLTOYA                                 
       5      5124      5124MEDINILLA                                          
       5      5125      5125MENGAMUÑOZ                                         
       5      5126      5126MESEGAR DE CORNEJA                                 
       5      5127      5127MIJARES                                            
       5      5128      5128MINGORRIA                                          
       5      5129      5129MIRON (EL)                                         
       5      5130      5130MIRONCILLO                                         
       5      5131      5131MIRUEÑA DE LOS INFANZONES                          
       5      5132      5132MOMBELTRAN                                         
       5      5133      5133MONSALUPE                                          
       5      5134      5134MORALEJA DE MATACABRAS                             
       5      5135      5135MUÑANA                                             
       5      5136      5136MUÑICO                                             
       5      5138      5138MUÑOGALINDO                                        
       5      5139      5139MUÑOGRANDE                                         
       5      5140      5140MUÑOMER DEL PECO                                   
       5      5141      5141MUÑOPEPE                                           
       5      5142      5142MUÑOSANCHO                                         
       5      5143      5143MUÑOTELLO                                          
       5      5144      5144NARRILLOS DEL ALAMO                                
       5      5145      5145NARRILLOS DEL REBOLLAR                             
       5      5147      5147NARROS DEL CASTILLO                                
       5      5148      5148NARROS DEL PUERTO                                  
       5      5149      5149NARROS DE SALDUEÑA                                 
       5      5151      5151NAVACEPEDILLA DE CORNEJA                           
       5      5152      5152NAVA DE AREVALO                                    
       5      5153      5153NAVA DEL BARCO                                     
       5      5154      5154NAVADIJOS                                          
       5      5155      5155NAVAESCURIAL                                       
       5      5156      5156NAVAHONDILLA                                       
       5      5157      5157NAVALACRUZ                                         
       5      5158      5158NAVALMORAL                                         
       5      5159      5159NAVALONGUILLA                                      
       5      5160      5160NAVALOSA                                           
       5      5161      5161NAVALPERAL DE PINARES                              
       5      5162      5162NAVALPERAL DE TORMES                               
       5      5163      5163NAVALUENGA                                         
       5      5164      5164NAVAQUESERA                                        
       5      5165      5165NAVARREDONDA DE GREDOS                             
       5      5166      5166NAVARREDONDILLA                                    
       5      5167      5167NAVARREVISCA                                       
       5      5168      5168NAVAS DEL MARQUES (LAS)                            
       5      5169      5169NAVATALGORDO                                       
       5      5170      5170NAVATEJARES                                        
       5      5171      5171NEILA DE SAN MIGUEL                                
       5      5172      5172NIHARRA                                            
       5      5173      5173OJOS-ALBOS                                         
       5      5174      5174ORBITA                                             
       5      5175      5175OSO (EL)                                           
       5      5176      5176PADIERNOS                                          
       5      5177      5177PAJARES DE ADAJA                                   
       5      5178      5178PALACIOS DE GODA                                   
       5      5179      5179PAPATRIGO                                          
       5      5180      5180PARRAL (EL)                                        
       5      5181      5181PASCUALCOBO                                        
       5      5182      5182PEDRO BERNARDO                                     
       5      5183      5183PEDRO-RODRIGUEZ                                    
       5      5184      5184PEGUERINOS                                         
       5      5185      5185PEÑALBA DE AVILA                                   
       5      5186      5186PIEDRAHITA                                         
       5      5187      5187PIEDRALAVES                                        
       5      5188      5188POVEDA                                             
       5      5189      5189POYALES DEL HOYO                                   
       5      5190      5190POZANCO                                            
       5      5191      5191PRADOSEGAR                                         
       5      5192      5192PUERTO CASTILLA                                    
       5      5193      5193RASUEROS                                           
       5      5194      5194RIOCABADO                                          
       5      5195      5195RIOFRIO                                            
       5      5196      5196RIVILLA DE BARAJAS                                 
       5      5197      5197SALOBRAL                                           
       5      5198      5198SALVADIOS                                          
